num_cities,density,alpha,beta,baseline_cost,final_cost,final_improvement,num_trips,time_seconds,ga_time,refinement_time
20,0.2,1,1,7330.745373832984,7319.3712146775915,0.15515692573353493,9,4.10592794418335,3.6421990394592285,0.4637289047241211
20,0.2,2,1,14632.829229922356,14621.455070766959,0.07773041683653606,9,4.095767974853516,3.670240879058838,0.42552709579467773
20,0.2,1,2,1894167.3668211268,1891466.5716870152,0.14258482019168828,18,2.535559892654419,1.8942883014678955,0.6412715911865234
20,1.0,1,1,3965.6841584779977,3965.121022269585,0.014200228407218162,17,1.8881549835205078,1.5753729343414307,0.31278204917907715
20,1.0,2,1,7916.191988141098,7916.047092896325,0.0018303654710463179,18,1.9936869144439697,1.6785540580749512,0.31513285636901855
20,1.0,1,2,1144052.9437870563,1032999.1196106381,9.707052875438315,17,1.719653844833374,1.3900318145751953,0.3296220302581787
50,0.2,1,1,12897.326905432597,12885.363695509177,0.09275728227359506,33,38.32489013671875,37.10324215888977,1.2216479778289795
50,0.2,2,1,25740.937995046475,25728.974785123057,0.04647542341200149,33,32.8639600276947,31.636658191680908,1.227301836013794
50,0.2,1,2,2623731.8234160133,2473855.0970229665,5.712349297875733,45,25.029951810836792,23.531348943710327,1.4986028671264648
50,1.0,1,1,8662.894218688041,8657.773639401885,0.05910933640526421,34,34.65371894836426,33.94169521331787,0.7120237350463867
50,1.0,2,1,17290.079571995222,17286.396485521025,0.021301732353866093,38,24.417952060699463,23.67321014404297,0.7447419166564941
50,1.0,1,2,2121786.14381273,1862315.9641554782,12.22885635359078,40,21.906845808029175,21.047701835632324,0.8591439723968506
100,0.2,1,1,25266.405618510707,25235.12201718795,0.12381500477391999,64,217.1739981174469,214.54160404205322,2.6323940753936768
100,0.2,2,1,50425.309618179184,50395.768413470636,0.05858408194661478,65,228.96851205825806,226.28188586235046,2.6866261959075928
100,0.2,1,2,5334401.927002504,4956805.119773726,7.078521873603101,87,234.9456148147583,231.26090908050537,3.6847057342529297
100,1.0,1,1,18266.185795826725,18255.162135770304,0.060350092677470275,72,150.62697291374207,149.0755569934845,1.5514159202575684
100,1.0,2,1,36457.91846237206,36448.557830690734,0.02567516763466599,74,150.86335730552673,149.23513412475586,1.628223180770874
100,1.0,1,2,5404978.08899582,4322202.965371908,20.032923460473803,67,149.52581095695496,148.06635212898254,1.459458827972412
